Module	Section	Sample Name	Source
Picard	AlignmentSummaryMetrics	SAMPLE_PAIRED_END_1_1	/Users/agrimabhatt/seqinspector/work/24/718302c4e11a69c4cb28a7eb637c3f/17/SAMPLE_PAIRED_END_1_1.CollectMultipleMetrics.alignment_summary_metrics
Picard	AlignmentSummaryMetrics	SAMPLE_PAIRED_END_2_2	/Users/agrimabhatt/seqinspector/work/24/718302c4e11a69c4cb28a7eb637c3f/13/SAMPLE_PAIRED_END_2_2.CollectMultipleMetrics.alignment_summary_metrics
Picard	BaseDistributionByCycle	SAMPLE_PAIRED_END_1_1_R1	/Users/agrimabhatt/seqinspector/work/24/718302c4e11a69c4cb28a7eb637c3f/18/SAMPLE_PAIRED_END_1_1.CollectMultipleMetrics.base_distribution_by_cycle_metrics
Picard	BaseDistributionByCycle	SAMPLE_PAIRED_END_1_1_R2	/Users/agrimabhatt/seqinspector/work/24/718302c4e11a69c4cb28a7eb637c3f/18/SAMPLE_PAIRED_END_1_1.CollectMultipleMetrics.base_distribution_by_cycle_metrics
Picard	BaseDistributionByCycle	SAMPLE_PAIRED_END_2_2_R1	/Users/agrimabhatt/seqinspector/work/24/718302c4e11a69c4cb28a7eb637c3f/14/SAMPLE_PAIRED_END_2_2.CollectMultipleMetrics.base_distribution_by_cycle_metrics
Picard	BaseDistributionByCycle	SAMPLE_PAIRED_END_2_2_R2	/Users/agrimabhatt/seqinspector/work/24/718302c4e11a69c4cb28a7eb637c3f/14/SAMPLE_PAIRED_END_2_2.CollectMultipleMetrics.base_distribution_by_cycle_metrics
Picard	Histogram	SAMPLE_PAIRED_END_1_1	/Users/agrimabhatt/seqinspector/work/24/718302c4e11a69c4cb28a7eb637c3f/20/SAMPLE_PAIRED_END_1_1.CollectMultipleMetrics.quality_distribution_metrics
Picard	Histogram	SAMPLE_PAIRED_END_2_2	/Users/agrimabhatt/seqinspector/work/24/718302c4e11a69c4cb28a7eb637c3f/16/SAMPLE_PAIRED_END_2_2.CollectMultipleMetrics.quality_distribution_metrics
FastQ Screen	all_sections	SAMPLE_PAIRED_END_1_1_1_screen	/Users/agrimabhatt/seqinspector/work/24/718302c4e11a69c4cb28a7eb637c3f/9/SAMPLE_PAIRED_END_1_1_1_screen.txt
FastQ Screen	all_sections	SAMPLE_PAIRED_END_2_2_1_screen	/Users/agrimabhatt/seqinspector/work/24/718302c4e11a69c4cb28a7eb637c3f/11/SAMPLE_PAIRED_END_2_2_1_screen.txt
FastQ Screen	all_sections	SAMPLE_PAIRED_END_1_1_2_screen	/Users/agrimabhatt/seqinspector/work/24/718302c4e11a69c4cb28a7eb637c3f/10/SAMPLE_PAIRED_END_1_1_2_screen.txt
FastQ Screen	all_sections	SAMPLE_PAIRED_END_2_2_2_screen	/Users/agrimabhatt/seqinspector/work/24/718302c4e11a69c4cb28a7eb637c3f/12/SAMPLE_PAIRED_END_2_2_2_screen.txt
FastQC	all_sections	SAMPLE_PAIRED_END_1_1_1	/Users/agrimabhatt/seqinspector/work/24/718302c4e11a69c4cb28a7eb637c3f/7/SAMPLE_PAIRED_END_1_1_1_fastqc.zip
FastQC	all_sections	SAMPLE_PAIRED_END_2_2_2	/Users/agrimabhatt/seqinspector/work/24/718302c4e11a69c4cb28a7eb637c3f/6/SAMPLE_PAIRED_END_2_2_2_fastqc.zip
FastQC	all_sections	SAMPLE_PAIRED_END_1_1_2	/Users/agrimabhatt/seqinspector/work/24/718302c4e11a69c4cb28a7eb637c3f/8/SAMPLE_PAIRED_END_1_1_2_fastqc.zip
FastQC	all_sections	SAMPLE_PAIRED_END_2_2_1	/Users/agrimabhatt/seqinspector/work/24/718302c4e11a69c4cb28a7eb637c3f/5/SAMPLE_PAIRED_END_2_2_1_fastqc.zip
